PRODUCT,PLANT,PURCHASINGGROUP,COUNTRYOFORIGIN,REGIONOFORIGIN,PRODUCTIONINVTRYMANAGEDLOC,PROFILECODE,PROFILEVALIDITYSTARTDATE,AVAILABILITYCHECKTYPE,FISCALYEARVARIANT,PERIODTYPE,PROFITCENTER,GOODSRECEIPTDURATION,MAINTENANCESTATUSNAME,ISMARKEDFORDELETION,MRPTYPE,MRPRESPONSIBLE,ABCINDICATOR,MINIMUMLOTSIZEQUANTITY,MAXIMUMLOTSIZEQUANTITY,FIXEDLOTSIZEQUANTITY,CONSUMPTIONTAXCTRLCODE,ISCOPRODUCT,CONFIGURABLEPRODUCT,STOCKDETERMINATIONGROUP,HASPOSTTOINSPECTIONSTOCK,ISBATCHMANAGEMENTREQUIRED,SERIALNUMBERPROFILE,ISNEGATIVESTOCKALLOWED,HASCONSIGNMENTCTRL,ISPURGACROSSPURGGROUP,ISINTERNALBATCHMANAGED,PRODUCTCFOPCATEGORY,PRODUCTISEXCISETAXRELEVANT,UNDERDELIVTOLERANCELIMIT,OVERDELIVTOLERANCELIMIT,PROCUREMENTTYPE,SPECIALPROCUREMENTTYPE,PRODUCTIONSCHEDULINGPROFILE,PRODUCTIONSUPERVISOR,SAFETYSTOCKQUANTITY,GOODSISSUEUNIT,SOURCEOFSUPPLYCATEGORY,CONSUMPTIONREFERENCEPRODUCT,CONSUMPTIONREFERENCEPLANT,CONSUMPTIONREFUSAGEENDDATE,CONSUMPTIONQTYMULTIPLIER,PRODUCTUNITGROUP,DISTRCNTRDISTRIBUTIONPROFILE,CONSIGNMENTCONTROL,GOODISSUEPROCESSINGDAYS,PLANNEDDELIVERYDURATIONINDAYS,PRODUCTISCRITICALPRT,PRODUCTLOGISTICSHANDLINGGROUP,MATERIALFREIGHTGROUP,ORIGINALBATCHREFERENCEMATERIAL,ORIGLBATCHMANAGEMENTISREQUIRED,PRODUCTCONFIGURATION,BASEUNIT,PLANNINGSTRATEGYGROUP,LOTSIZEROUNDINGQUANTITY,MATERIALBASEQUANTITY,MINIMUMSAFETYSTOCKQUANTITY,SAFETYDURATION,ASSEMBLYSCRAPPERCENT,COMPONENTSCRAPINPERCENT,PRODUCTBOMUSAGE,OPERATION,LAST_UPDATE_DATE
000000000015000000,AU03,ANJ,,,2200,,,Z2,,M,0000010000,0,DLBGEVS,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,2,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000005,AU00,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000000,1710,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000011,AU30,,,,,,,02,,M,,0,VEDLB,,PD,001,A,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,X,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000005,AU03,,,,2200,,,Z2,,M,,0,DLGB,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000039,NZ01,,,,2200,,,Z2,,M,0000010000,0,DLBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU00,,,,2200,,,,,M,0000010000,0,DALBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,001,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000000,AU30,,,,,,,,,M,,0,EBG,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000000,AU03,ANJ,,,2200,,,Z2,,M,0000010000,0,DLEBVG,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000004,NZ01,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,001,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000000,AU30,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000001,AU03,,,,2200,,,Z2,,M,,0,DLGB,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000004,AU03,,,,2200,,,Z2,,M,,0,DLGB,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000003,AU03,,,,2200,,,Z2,,M,0000010000,0,DLBG,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000003,AU03,,,,2200,,,Z2,,M,0000010000,0,DLBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000010,NZ06,,,,1000,,,,,M,0000090002,3,DALBGS,,PD,001,A,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000039,AU03,,,,,,,01,,M,,0,EDB,,ND,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,30,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000000,AU00,,,,2200,,,Z2,,M,,0,DL,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000001,AU00,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000011,AU31,,,,,,,02,,M,0000010000,0,V,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000002,AU03,,,,1000,,,Z2,,M,0000010000,0,DLBGAVESQ,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,50,ZIN,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000000,AU03,,,,1000,,,Z2,,M,0000010000,0,DLABGVESQ,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000003,NZ03,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,001,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000006,NZ01,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,002,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000003,AU03,,,,1000,,,Z2,,M,0000010000,0,DLBGA,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000002,NZ01,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,001,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000035,NZ01,,,,2200,,,Z2,,M,0000010000,0,DLBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000000,AU36,,,,,,,,,M,0000010000,0,EL,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000012,NZ31,,,,,,,,,M,,0,V,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000034,NZ01,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,002,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,NZ31,,,,,,,,,M,0000070011,0,BG,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000030,NZ03,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,002,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000004,AU03,,,,1000,,,Z2,,M,0000010000,0,DLBGA,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,50,ZEX,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000005,AU03,,,,1000,,,Z2,,M,0000010000,0,DLBGA,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU31,,,,,,,,,M,0000070011,0,VDBG,,Z1,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,X,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000039,AU30,,,,,,,01,,M,,0,VEDLSQBG,,PD,003,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,30,,,0.000,,,,,,0.00,,,,0,2,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000002,NZ30,,,,1000,,,Z2,,M,0000010000,0,DLBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,A6,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000002,AU00,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000007,AU03,,,,2200,,,Z2,,M,0000010000,0,DLBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000015000000,AU35,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000000,AU35,,,,,,,,,M,0000010000,0,EBGVL,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000035000002,AU03,,,,2200,,,Z2,,M,,0,DLGB,,PD,001,,0.000,0.000,0.000,,,,,,,,,,,,,,0.0,0.0,F,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000028,NZ01,,,,2200,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,002,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000029,AU03,,,,1000,,,Z2,,M,0000010000,0,DALBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000060,AU02,,,,,,,Z2,,M,0000010000,0,VELQBG,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,TNE,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000000,AU00,,,,2200,,,,,M,,0,DAL,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU30,,,,,,,02,,M,0000010000,0,VDLBG,,Z1,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,X,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000000,AU03,,,,1000,,,Z2,,M,0000010000,0,DLABGV,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,0.000,,,,,,0.00,,,,0,0,,,,,,0,EA,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU36,,,,1000,,,Z2,,M,0000010000,0,DBG,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,F,C8,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000076000001,AU03,,,,1000,,,Z2,,M,0000010000,0,DLABGV,,PD,001,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,,ZEXPIB,,100000.000,,,,,,0.00,,,,0,0,,,,,,0,CS,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000004,AU30,,,,1100,,,Z2,,M,0000010000,0,VEDALSQBG,,PD,002,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,E,50,YB0004,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
000000000057000003,AU00,,,,,,,,,M,,0,E,,,,,0.000,0.000,0.000,,,,,,X,,,,,X,,,0.0,0.0,,,,,0.000,,,,,,0.00,,,,0,0,,,,,,0,KGM,,0.000,0.000,0.000,0,0.00,0.00,,U,2022-09-09 01:38:37+00:00
